lemma	pos	count
duomuo	N	1112508
negalėti	V	1108256
sveikata	N	1106136
antras	M	1100264
pareigūnas	N	1091174
sudaryti	V	1089711
J	Y	1088808
mėnuo	N	1088465
atvejis	N	1088110
Klaipėda	Ng	1087726
grupė	N	1085585
socialinis	A	1080864
tyrimas	N	1073467
moteris	N	1068881
kur	R	1056697
paslauga	N	1054475
informacija	N	1053987
tiek	R	1046029
automobilis	N	1041859
gyventojas	N	1037013
k.	Y	1034151
tapti	V	1028482
patvirtinti	V	1023256
sistema	N	1020538
Rusija	Ng	1017482
vykti	V	1015791
kalbėti	V	1010197
čia	R	1005277
mokykla	N	1004835
aktas	N	989457
l	Y	982991
siūlyti	V	978378
teigti	V	974507
vyras	N	972309
policija	N	972124
centras	N	971681
prezidentas	N	967155
rinkimai	N	952515
siekti	V	951716
kaina	N	950420
trys	M	945262
gerai	R	944985
žinoti	V	942364
teikti	V	940277
reikalavimas	N	935170
padaryti	V	929391
sąjunga	N	928743
dalyvauti	V	926871
lietuvis	N	925573
gyvenimas	N	920254
kiekvienas	P	914791
skyrius	N	910673
bankas	N	904910
vykdyti	V	903882
žodis	N	903712
namai	N	889745
užsienis	N	888711
lėšos	N	882744
niekas	P	881822
ant	S	878170
darbuotojas	N	876783
toli	R	875014
pinigas	N	874277
svarbus	A	871446
keli	P	866680
be	S	865757
draudimas	N	864010
reikalas	N	861800
byla	N	861121
viešas	A	859160
komanda	N	856782
atstovas	N	852652
aukštas	A	848326
tikras	A	846445
neturėti	V	843948
galimybė	N	842060
pagrindinis	A	834140
JAV	Y	833388
departamentas	N	829789
didelis	A	827081
sąlyga	N	816989
biudžetas	N	813679
gal	Q	807574
papildyti	V	805214
kultūra	N	802792
tarp	S	797944
vanduo	N	795636
partija	N	793355
tūkst.	Y	791565
naudoti	V	790958
likti	V	788526
kiek	R	787880
leisti	V	781202
visuomenė	N	770995
daryti	V	767067
kaip	R	763038
taisyklė	N	754510
privalėti	V	754116
šeima	N	750925
mažas	A	750118
direktorius	N	746375
tai	C	742762
fondas	N	739398
mažai	R	737663
tikrai	R	731513
teritorija	N	730368
kol	R	729750
parama	N	722616
kelias	N	719247
kartu	R	717702
mln.	Y	715435
pasiūlymas	N	713590
aplinka	N	712848
tarptautinis	A	711927
pažeidimas	N	710541
posėdis	N	708297
e	I	704843
suteikti	V	699477
pranešti	V	696711
organizacija	N	694312
mokslas	N	691335
rinka	N	683125
kalba	N	681013
rezultatas	N	680747
nuostata	N	678238
laikyti	V	677369
ES	Y	672280
susyti	V	671702
būdas	N	667349
nuomonė	N	664122
savaitė	N	663621
pajamos	N	659319
verslas	N	657058
viskas	P	655739
medžiaga	N	654459
problema	N	653842
taip	Q	653106
pritarti	V	650267
skaičius	N	649949
prekyba	N	643471
pakeisti	V	642341
nacionalinis	A	641908
praeiti	V	639118
priežiūra	N	638413
val.	Y	636220
pradžia	N	629614
taikyti	V	627171
prekė	N	624917
mokėti	V	624001
vidus	N	620222
transportas	N	613168
savęs	P	612558
dažnai	R	608983
trečias	M	607773
padėti	V	607065
produktas	N	606379
specialus	A	604324
tikslas	N	602311
tekti	V	601090
gatvė	N	596341
eiti	V	592699
pasakyti	V	591503
N	Y	590678
įvairus	A	588349
klubas	N	587679
įgyvendinti	V	585637
vyresnis	A	584896
akcija	N	584482
pusė	N	582519
joks	P	582444
vėlai	R	581815
pastatas	N	578680
planas	N	574060
matyti	V	564852
gerbti	V	564618
politinis	A	564275
priklausyti	V	562704
sritis	N	562197
kaimas	N	559742
tada	R	556046
sąrašas	N	555544
tūkstantis	M	553289
ryšys	N	550767
veikti	V	547501
prašymas	N	545630
bauda	N	544265
pensija	N	544201
veiksmas	N	540730
svarstyti	V	538006
valdžia	N	537680
administracinis	A	535800
suma	N	535682
finansai	N	535469
kontrolė	N	529248
išlaidos	N	528840
pagalba	N	528417
finansinis	A	525605
pilietis	N	524860
išdėstyti	V	522033
rašyti	V	519291
vardas	N	519031
oras	N	515713
rasti	V	515237
statyba	N	514896
pasak	S	513775
paskelbti	V	513322
suprasti	V	513302
valdymas	N	512370
pripažinti	V	512249
IS	Y	510326
kodeksas	N	509571
sportas	N	509104
jaunas	A	506115
beveik	R	504444
Šiauliai	Ng	499952
taškas	N	499823
atrodyti	V	499375
leidimas	N	497982
dėmesys	N	496296
baigti	V	496088
balsuoti	V	496028
prašyti	V	495766
juridinis	A	494966
pavadinimas	N	494028
atsižvelgti	V	493642
saugumas	N	489131
parengti	V	488390
maistas	N	488280
sunkus	A	487327
rungtynės	N	484460
vadovauti	V	484380
liga	N	484027
specialistas	N	483198
rengti	V	482250
laikotarpis	N	481341
pabaiga	N	481236
juk	Q	479645
dydis	N	479368
penki	M	478679
politika	N	476696
procentas	N	476227
sausis	N	476212
sukurti	V	474829
papildymas	N	474781
kilti	V	474117
kodėl	R	473262
dalyvis	N	473009
paskutinis	A	472272
anksti	R	470183
santykis	N	469691
licencija	N	467836
minėti	V	467668
tvirtinti	V	467112
pavyzdys	N	467071
dalykas	N	463790
laisvė	N	462864
vis	Q	460518
o	Q	460359
terminas	N	458453
užtikrinti	V	457408
rytas	N	457238
objektas	N	457226
vadinti	V	456652
komentaras	N	456486
šiandien	R	456415
konkursas	N	456001
išvada	N	454753
išskirti	V	453623
balsas	N	453318
keturi	M	453264
tam	R	453216
vertė	N	450948
istorija	N	449335
laukti	V	449209
gairė	N	446990
žinios	N	446625
švietimas	N	444725
situacija	N	443373
skelbti	V	443218
administracija	N	441469
naujiena	N	440786
šimtas	M	439323
vėl	R	439101
tiesa	N	438546
įrašyti	V	438494
teisinis	A	438256
čempionatas	N	437769
įgyvendinimas	N	437696
pasiekti	V	436693
procesas	N	436648
tik	C	436460
ranka	N	436257
universitetas	N	433860
karas	N	433730
pranešimas	N	432647
valanda	N	432537
priedas	N	432442
butas	N	431680
patalpa	N	430216
liepa	N	429467
kolega	N	429443
gruodis	N	428845
plėtra	N	428379
energija	N	427808
bausti	V	427800
daugelis	N	426445
išduoti	V	425722
laivas	N	425169
tikėtis	V	424779
vis	R	424109
forma	N	421607
įsakymas	N	420854
ekonomika	N	419456
rinktinė	N	419434
miškas	N	419295
knyga	N	419045
parduoti	V	418434
Lenkija	Ng	416475
valdyti	V	416232
keisti	V	415237
tinklas	N	415193
ypač	R	413439
registras	N	411856
būtinas	A	409443
pareigos	N	407862
naudojimas	N	407092
kurti	V	405904
teisėjas	N	405192
muzika	N	405154
perduoti	V	404807
pastaras	A	404723
vertinti	V	404599
pataisa	N	403896
savininkas	N	402004
greitai	R	401885
imti	V	400821
kelti	V	399258
ekonominis	A	398707
amžius	N	398567
filmas	N	397024
dujos	N	395313
narė	N	394235
bandyti	V	393493
plotas	N	392084
gamyba	N	391768
valdyba	N	390392
palikti	V	389591
senas	A	389020
renginys	N	388948
pergalė	N	388194
televizija	N	386388
galva	N	385924
priežastis	N	385874
gegužė	N	385818
kraštas	N	384967
data	N	384271
Vokietija	Ng	383372
atsakyti	V	383367
pareikšti	V	382354
pagrindas	N	382039
netekti	V	381882
vakaras	N	380761
atsirasti	V	380033
C	Y	379786
birželis	N	379614
kodas	N	379147
apskritis	N	377869
ateiti	V	377506
organizuoti	V	376842
įvykis	N	376481
elektra	N	376069
kreiptis	V	375264
patvirtinimas	N	375136
fizinis	A	372876
vairuotojas	N	372857
jūra	N	372668
pas	S	372409
namas	N	371633
kovas	N	371341
pasakoti	V	370529
bent	Q	369269
krepšinis	N	368870
vertinimas	N	367498
per	Q	367457
reikalingas	A	366278
ieškoti	V	366262
kova	N	365716
planuoti	V	365455
nusikaltimas	N	364364
balandis	N	364273
funkcija	N	363836
žaisti	V	362686
įsigyti	V	362453
pasirašyti	V	361381
spauda	N	360576
atsisakyti	V	360228
atsakomybė	N	360020
duoti	V	359915
Panevėžys	Ng	357765
visiškai	R	357674
atvykti	V	357506
patirti	V	357465
sezonas	N	357042
paskirti	V	356820
saugoti	V	356712
lygis	N	356514
pavaduotojas	N	355999
pirkti	V	355669
profesinis	A	355497
teatras	N	354773
galia	N	354122
dauguma	N	353632
generalinis	A	353597
balsavimas	N	353203
atitinkamas	A	351539
rugsėjis	N	350808
y.	Y	350627
atlyginimas	N	350510
abu	M	350048
pristatyti	V	350006
atitikti	V	349632
šventė	N	348588
pasirodyti	V	348216
spręsti	V	347260
priėmimas	N	346935
tauta	N	346063
internetas	N	345806
įvertinti	V	345701
rodyti	V	345463
tad	C	344879
sklypas	N	344435
mokėjimas	N	344258
ketvirtadienis	N	343379
kada	R	342750
įvykti	V	341862
spalis	N	341667
pirkimas	N	341213
techninis	A	341206
nuotr.	Y	340862
tai	Q	340826
šitas	P	339276
prasidėti	V	339115
tėvai	N	339026
kadangi	C	338914
panašus	A	338454
lapkritis	N	338354
subjektas	N	337599
ligoninė	N	337590
vartotojas	N	336666
agentūra	N	336405
meras	N	334474
draugas	N	334060
nuspręsti	V	333869
kinas	N	333490
tiesiog	R	333309
lyderis	N	332603
ataskaita	N	332540
euras	N	332426
nuosavybė	N	332279
pastaba	N	331453
telefonas	N	330775
raštas	N	330649
varžybos	N	329818
uostas	N	328918
menas	N	328609
Latvija	Ng	327918
sutikti	V	327578
nuostatai	N	326488
įgalioti	V	326296
laimėti	V	325710
kandidatas	N	325669
kelionė	N	325625
taigi	Q	324462
Baltija	Ng	324458
UAB	Y	324119
pirma	R	320722
nereikėti	V	319949
daiktas	N	319887
pozicija	N	318762
susitikimas	N	318003
kitaip	R	317098
grįžti	V	316220
sostinė	N	315243
mokymas	N	314635
energetika	N	314327
minutė	N	311811
politikas	N	311158
akis	N	310756
artimas	A	310576
Vytautas	Nf	310377
vos	Q	310041
pareiga	N	310023
kitoks	P	309994
gydytojas	N	309138
vasaris	N	308412
parodyti	V	307815
min	Y	307716
naktis	N	307714
jaunimas	N	307023
teigimas	N	306888
radijas	N	306494
prokuroras	N	306013
sulaukti	V	305589
galioti	V	305530
nagrinėti	V	305419
visai	R	305376
užimti	V	304410
ekipa	N	303129
procedūra	N	303073
interesas	N	302709
konstitucija	N	302687
ateitis	N	301672
studijos	N	301395
siena	N	300579
šiluma	N	300486
sąskaita	N	300431
sauga	N	300291
šiemet	R	300140
civilinis	A	300090
vasara	N	296878
sukelti	V	296281
įtarti	V	296013
mirti	V	295588
elektroninis	A	295572
aiškus	A	294904
bendrija	N	294460
mergina	N	294227
akcinis	A	293986
futbolas	N	293646
tarnautojas	N	293262
nafta	N	292845
turnyras	N	292782
regionas	N	291429
reikalauti	V	291055
nė	Q	290849
anot	S	290730
nežinoti	V	290582
teisingumas	N	290514
pora	N	290340
remti	V	290323
paraiška	N	290170
penktadienis	N	289611
išdavimas	N	289278
atskiras	A	289035
Ukraina	Ng	288953
finansavimas	N	288767
karys	N	288112
pernai	R	287804
jungtinis	A	287657
kokybė	N	287419
pažymėti	V	287128
numeris	N	287065
patekti	V	286999
premjeras	N	285977
kiekis	N	285425
principas	N	284951
pateikimas	N	284380
pasiūlyti	V	284022
visada	R	283700
atlieka	N	283174
padėtis	N	282923
nekilnoti	V	282898
studentas	N	282792
kompanija	N	282598
salė	N	282434
apygarda	N	281445
žūti	V	281072
informuoti	V	280665
pastebėti	V	280128
milijonas	M	279922
kūnas	N	279834
viršininkas	N	279679
muitinė	N	279152
kviesti	V	279005
vien	Q	278275
pasirinkti	V	277952
antradienis	N	276707
ženklas	N	276562
medicina	N	276465
lyga	N	275966
apylinkė	N	275934
esmė	N	275647
rūšis	N	275364
tvarkymas	N	275194
sumokėti	V	274951
ginklas	N	274607
surinkti	V	274314
alkoholis	N	274286
karinis	A	273895
galbūt	Q	273701
bendruomenė	N	273688
nuotrauka	N	273478
pardavimas	N	273416
parduotuvė	N	272809
ačiū	I	272398
versti	V	272307
įrenginys	N	272265
zona	N	271705
šaltinis	N	271678
svarstymas	N	271464
eismas	N	271318
šiol	R	271194
ekspertas	N	271187
autorius	N	270232
ilgas	A	270090
dešimt	M	270061
būtent	C	270048
ilgai	R	270040
romas	N	269974
pirmadienis	N	269926
II	M	269315
daina	N	268955
koncertas	N	268943
priminti	V	268388
teikimas	N	268367
inspekcija	N	267898
kartais	R	267644
ketvirtas	M	267467
sumažinti	V	267464
paroda	N	267084
žurnalistas	N	266771
investicija	N	266011
laikinas	A	265936
Times	Np	265446
popierius	N	265060
aiškinti	V	264988
riba	N	264795
imtis	V	264546
važiuoti	V	264238
trečiadienis	N	263942
Jonas	Nf	263591
gražus	A	263391
parlamentas	N	263284
poveikis	N	262986
įtaka	N	262852
itin	R	262403
tuomet	R	261998
svečias	N	261767
jėga	N	261031
susitarimas	N	260340
laisvas	A	260092
asociacija	N	260064
operacija	N	259727
skaityti	V	259536
doleris	N	259007
statinys	N	258194
technologija	N	258005
pelnas	N	257520
surengti	V	257496
negu	C	257356
apskaita	N	257277
vaizdas	N	257120
vykdymas	N	256330
bausmė	N	256149
festivalis	N	254676
šeštadienis	N	254647
privatus	A	254534
kv.	Y	253232
mirtis	N	252339
treneris	N	251764
vertas	A	251537
perdavimas	N	251452
žala	N	251384
reguliavimas	N	251244
paprastas	A	250366
reikšti	V	250074
pavardė	N	249270
grąžinti	V	248813
pamatyti	V	248357
mokinys	N	247971
poreikis	N	247887
kažkas	P	247748
konkretus	A	247122
ketinti	V	247023
atsakingas	A	246835
frakcija	N	246583
skundas	N	246557
pažeisti	V	246549
laida	N	246436
sekmadienis	N	245791
dabartinis	A	245664
klasė	N	245317
rusas	N	245292
sulaikyti	V	244858
galas	N	244230
parkas	N	244206
statyti	V	243719
pelnyti	V	243274
nuolat	R	243100
vadovautis	V	242641
etapas	N	242510
nenorėti	V	242219
keletas	P	241981
rinkėjas	N	241973
panaudoti	V	241868
eilė	N	241724
paskola	N	241244
vidutinis	A	240198
Delfi	Np	239766
išleisti	V	239178
naudotis	V	238592
žmona	N	238370
meilė	N	238248
paskirtis	N	237633
praktika	N	237516
nukentėti	V	237349
nutraukti	V	237187
išmoka	N	236909
gyvūnas	N	236306
pavykti	V	236229
kreditas	N	235723
tinkamas	A	235392
informacinis	A	234947
EB	Y	234673
įranga	N	234518
drausti	V	234465
laipsnis	N	234266
norma	N	233767
asmeninis	A	233658
stiprus	A	233353
rugpjūtis	N	232737
na	I	232665
atstovauti	V	232342
siūlymas	N	232336
žvaigždė	N	231347
Žalgiris	Np	230784
išeiti	V	230601
prezidentė	N	230539
Prancūzija	Ng	230492
aplinkybė	N	230198
vakarai	N	230137
konferencija	N	229824
pareiškimas	N	229757
reglamentas	N	229515
vaistas	N	229033
prisiminti	V	229014
redakcija	N	228831
gaminys	N	228650
rūmai	N	228622
augti	V	228327
Baltarusija	Ng	227611
verslininkas	N	227559
dievas	N	226642
įveikti	V	226131
reglamentuoti	V	225946
mintis	N	225302
maždaug	R	225271
laikytis	V	224937
žiūrėti	V	224669
Amerika	Ng	224414
palaikyti	V	224263
krepšininkas	N	224132
bažnyčia	N	223239
paštas	N	223010
pažymėjimas	N	222890
kontroliuoti	V	222763
įdomus	A	222668
atleisti	V	222557
skatinti	V	222469
gamta	N	222448
motina	N	222024
įrengti	V	221734
idėja	N	221671
rinkti	V	221531
prokuratūra	N	221457
gaminti	V	221404
paklausti	V	221384
vakar	R	221271
panaikinti	V	220943
finansuoti	V	220916
metras	N	220631
vienintelis	A	220464
gimti	V	220396
Maskva	Ng	220093
skola	N	220057
klientas	N	219845
kvalifikacija	N	219697
kūrinys	N	219427
administravimas	N	219348
dėlto	Q	218661
protokolas	N	218464
institutas	N	218437
geležinkelis	N	218343
kainuoti	V	218316
žaidimas	N	216833
beje	Q	216656
mokytojas	N	216202
deputatas	N	216105
stengtis	V	215279
pastatyti	V	214913
širdis	N	214896
pavojingas	A	214874
patirtis	N	214424
krizė	N	214201
žaidėjas	N	213501
ketvirtis	N	213466
paprastai	R	213423
Britanija	Ng	212761
muziejus	N	212748
išteklius	N	212544
centrinis	A	212425
mama	N	212288
skirtingas	A	212037
augalas	N	211898
oficialus	A	211371
įskaityti	V	210058
tarpas	N	209879
gamintojas	N	209338
spalva	N	209188
pridėti	V	209130
reklama	N	208981
LRS	Y	208775
sektorius	N	208260
būklė	N	208125
šiaurė	N	207865
pietūs	N	207834
tėvas	N	207378
mokslininkas	N	206632
irgi	R	206076
vienetas	N	205792
lengvas	A	205625
sūnus	N	205552
Kubilius	Ns	204182
vertybinis	A	204175
stebėti	V	203930
šeši	M	203765
avarija	N	203646
įgyti	V	203322
adresas	N	203110
gėrimas	N	202397
uždaras	A	202306
keleivis	N	202196
įtraukti	V	202111
lemti	V	201651
pienas	N	201397
atkreipti	V	201035
įsigalioti	V	200988
mergaitė	N	200791
registruoti	V	200786
aikštė	N	200437
pabrėžti	V	200354
padidinti	V	200337
išlikti	V	200221
kovoti	V	200148
požiūris	N	200142
blogas	A	200124
bendradarbiavimas	N	200027
niekada	R	199852
lietuviškas	A	199485
portalas	N	199307
gana	R	199220
tekstas	N	199080
džiaugtis	V	198886
nuolatinis	A	198649
nuostolis	N	198611
PVM	Y	198574
puikus	A	198357
partneris	N	198143
lenkas	N	198097
konstitucinis	A	197853
suderinti	V	197535
nuteisti	V	196930
Gediminas	Nf	196353
kapitalas	N	196336
rodiklis	N	196332
įmoka	N	196269
pareiškėjas	N	196201
tarnybinis	A	195935
užtraukti	V	195932
žiniasklaida	N	195529
reforma	N	195285
noras	N	194981
Italija	Ng	194696
technika	N	194383
modelis	N	194325
išrinkti	V	194179
Estija	Ng	193946
direktyva	N	193803
vartoti	V	193178
žiūrovas	N	193127
įsipareigojimas	N	192697
rytai	N	192357
tvarkyti	V	191777
nutarti	V	191752
pajėgos	N	190820
koja	N	190742
Algirdas	Nf	190733
vertybė	N	190720
Kinija	Ng	190575
faktas	N	190560
kompiuteris	N	190387
iniciatyva	N	189879
vietoj	S	189580
gyvas	A	189481
galvoti	V	189426
padalinys	N	189006
tirti	V	188868
erdvė	N	188719
statutas	N	188625
susitikti	V	188563
ginti	V	188531
kuo	Q	188054
rinktis	V	188054
Ispanija	Ng	187852
prarasti	V	187799
kategorija	N	187391
planavimas	N	186976
ponas	N	186534
baltas	A	186484
postas	N	186342
VIII	M	186261
gyvybė	N	186215
baigtis	V	186152
iškovoti	V	185330
derybos	N	185221
durys	N	184955
užmokestis	N	184932
sumažėti	V	184799
verstis	V	184711
pranešėjas	N	184599
parašyti	V	184513
mašina	N	183959
organas	N	183689
priversti	V	183575
paaiškėti	V	183325
sąvoka	N	183127
žadėti	V	183062
prašom	I	183058
žyma	N	182967
tarifas	N	182677
Andrius	Nf	182632
kam	R	182512
veidas	N	181454
rizika	N	181114
lėktuvas	N	180619
sustabdyti	V	180541
priskirti	V	180330
nemokėti	V	180286
finalas	N	180180
infrastruktūra	N	180064
štai	Q	179975
nuoma	N	179644
įsitikinti	V	179566
apskaičiuoti	V	179259
tikėti	V	178556
ugdymas	N	178498
proga	N	178196
krovinys	N	178109
privatizavimas	N	177974
atsakymas	N	177961
garsus	A	177688
praleisti	V	177277
scena	N	177169
čempionas	N	176722
kompetencija	N	176598
įvykdyti	V	176580
gynyba	N	176559
rengimas	N	176410
ypatingas	A	176275
jau	Q	176102
šiek	R	175933
nauda	N	175894
bu	O	175878
paimti	V	175821
išlaikyti	V	175711
atėmimas	N	175492
saulė	N	175440
medikas	N	175266
ūkininkas	N	175111
galiojimas	N	174860
kariuomenė	N	174768
didžiulis	A	174179
klaida	N	174111
klausti	V	174000
ūkinis	A	173813
kamuolys	N	173341
lapas	N	173290
auditas	N	173195
ginčas	N	173029
teikėjas	N	172844
skaičiuoti	V	172759
palyginti	V	172715
sužinoti	V	172126
teritorinis	A	171919
mokytis	V	171414
pasibaigti	V	171391
ratas	N	171271
susisiekimas	N	170991
turinys	N	170858
birža	N	170555
TV	Y	170400
diskusija	N	170048
puikiai	R	169988
tiesioginis	A	169854
ilgalaikis	A	169802
visuomeninis	A	169721
NATO	Y	169715
būstas	N	169592
atnaujinti	V	169529
juodas	A	169370
pavasaris	N	168920
autobusas	N	168484
Londonas	Ng	168463
kaltinti	V	168354
deja	I	168268
pagaminti	V	168146
organizatorius	N	168044
gerokai	R	167985
medis	N	167832
vesti	V	167744
mlrd.	Y	167728
aktorius	N	167683
stovėti	V	167408
susitarti	V	167360
atostogos	N	167266
trumpas	A	167225
Alytus	Ng	167160
tiekimas	N	166883
konservatorius	N	166634
skirsnis	N	166118
kraujas	N	165962
patikti	V	165877
didinti	V	165643
namo	R	165621
Tel	Ng	165524
skirtumas	N	165328
auka	N	165220
pasaulinis	A	164936
variantas	N	164836
struktūra	N	164799
netgi	Q	164442
komentuoti	V	164400
karjera	N	164368
karta	N	164149
gydymas	N	163606
h	Y	163397
neseniai	R	163222
aikštelė	N	163055
taurė	N	163026
jaustis	V	162596
rimtas	A	162428
iškelti	V	162195
metinis	A	162138
žiema	N	162004
greitas	A	161852
tikinti	V	161840
laiškas	N	161798
lyg	C	161651
KT	Y	161572
Grybauskaitė	Ns	161550
saugus	A	161326
nematyti	V	161314
susirinkimas	N	161038
strategija	N	161017
laukas	N	160776
atviras	A	160638
III	M	160344
išvengti	V	160270
kompensacija	N	159950
komercinis	A	159828
nustatymas	N	159800
penktas	M	159555
tik	Q	159503
apklausa	N	159317
tipas	N	159296
sudėtis	N	159237
linija	N	159061
įrašas	N	159039
sunkiai	R	158904
bazė	N	158890
naudingas	A	158545
pirkėjas	N	158341
sveikas	A	158337
š.	Y	158299
padidėti	V	158295
neleisti	V	158135
mažinti	V	157963
sekti	V	157918
savaitgalis	N	157852
atskleisti	V	157719
mokslinis	A	157408
šuo	N	157156
gavėjas	N	157102
moksleivis	N	156898
kriterijus	N	156891
laikraštis	N	156842
biuras	N	156815
vedėjas	N	156724
lengvai	R	156642
įgaliojimas	N	156281
pripažinimas	N	156130
vietinis	A	155850
km	Y	155771
produkcija	N	155565
valstija	N	155467
ligonis	N	155422
brolis	N	155339
nepriklausyti	V	155073
sirgti	V	154953
nelaimė	N	154921
girdėti	V	154745
populiarus	A	154680
turizmas	N	154663
pobūdis	N	154599
pasekmė	N	154585
susirinkti	V	154536
mokėtojas	N	154497
patikrinimas	N	154086
sandoris	N	154042
viršyti	V	153985
pramonė	N	153855
tema	N	153672
nepritarti	V	153528
brangus	A	153443
elgesys	N	153410
vaikinas	N	153148
administratorius	N	153110
drabužis	N	152871
egzaminas	N	152574
įrodyti	V	152502
paaiškinti	V	152442
kryptis	N	152394
socialdemokratas	N	152341
elgtis	V	152059
sugebėti	V	151969
nedidelis	A	151923
komisariatas	N	151733
spektaklis	N	151414
stotis	N	151335
branduolinis	A	151332
pavojus	N	151304
ikiteisminis	A	151202
sudarymas	N	151130
darbdavys	N	150986
atranka	N	150803
negauti	V	150424
vietovė	N	150420
atominis	A	150392
garantija	N	150389
gaisras	N	150270
pokalbis	N	150031
neigiamas	A	149980
mylėti	V	149963
įsteigti	V	149865
netrukus	R	149807
tęsti	V	149771
globa	N	149561
pagrįsti	V	149283
nemažai	R	149224
mačas	N	149176
tiesiogiai	R	149114
paskui	R	148882
dešimtmetis	N	148748
nepriklausomybė	N	148379
kambarys	N	148362
vaidmuo	N	148299
kg	Y	148169
tradicinis	A	147946
išbraukti	V	147934
ruduo	N	147443
sutarimas	N	147280
Mažeikiai	Ng	147227
įregistruoti	V	147088
trūkti	V	146946
esą	Q	146725
ledas	N	146509
vidurys	N	146470
nesuprasti	V	146259
septyni	M	146097
augimas	N	146045
organizavimas	N	146045
tikrinti	V	145990
individualus	A	145928
kasmet	R	145843
galutinis	A	145618
vokietis	N	145554
šeimininkas	N	145531
vairuoti	V	145437
lyginti	V	145411
vartojimas	N	145248
užsienietis	N	145161
žuvis	N	144794
aptarti	V	144583
bilietas	N	144529
nepavykti	V	144501
koalicija	N	144454
susilaikyti	V	144276
reikti	V	143881
jausti	V	143877
auginti	V	143788
veika	N	143729
konfliktas	N	143572
alfa	N	143287
Alfa	Nf	142494
bandymas	N	142415
kalėjimas	N	142326
remontas	N	142270
langas	N	142043
registracija	N	141938
greitis	N	141883
aprašas	N	141875
sudėtingas	A	141875
sekretorius	N	141869
daugybė	N	141670
nugalėti	V	141628
bendrauti	V	141470
vadas	N	141463
turas	N	141415
pasikeisti	V	141208
pro	S	141199
susipažinti	V	141139
pakankamai	R	140911
Abu	Ng	140865
patikrinti	V	140818
pažyma	N	140806
statusas	N	140757
tiekėjas	N	140747
Izraelis	Ng	140719
kaimynas	N	140653
konvencija	N	140567
it	Q	140553
motyvas	N	140512
tavas	P	140275
alus	N	140240
paveldas	N	140161
mėgti	V	140127
trukti	V	140091
laimė	N	140035
išvykti	V	139746
aktyvus	A	139741
para	N	139567
